"Poistenci v zdravotnıch poisovniach k 31.12."

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Poistenci spolu";"5 366 864";"5 382 425";"5 637 723";"5 612 731";"5 562 640";"5 545 591";"5 515 117";"5 465 923";"5 436 139";"5 396 613";"5 331 121";"5 310 980";"5 296 631";"5 285 215";"5 271 277";"5 260 654";"5 237 830";"5 220 972";"5 197 524";"5 182 121";"5 162 040"
"Zamestnanci";"1 985 356";"1 921 405";"1 931 381";"1 875 694";"1 768 483";"1 819 409";"1 797 038";"1 794 135";"1 782 781";"1 778 595";"1 804 017";"1 788 592";"1 771 981";"1 775 026";"1 625 633";"1 588 159";"1 440 926";"1 402 806";"1 652 143";"1 685 098";"1 712 439"
"Samostatne zárobkovo èinné osoby ";"109 673";"109 822";"246 599";"220 816";"231 208";"240 605";"255 499";"280 814";"311 478";"328 917";"366 390";"384 023";"386 967";"398 766";"397 421";"418 974";"350 184";"328 472";"325 938";"322 398";"323 895"
"Spolupracujúce osoby";"245";"1 941";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Nerezidenti";"170";"7 011";"805";"531";"417";"481";"601";"777";"24";"3";"1";"0";"249";"322";"404";"0";"0";"0";"0";"0";"0"
"Ostatní platitelia poistného";"7 200";"36 180";"37 202";"223 519";"210 941";"204 113";"245 387";"214 297";"251 532";"253 905";"126 215";"141 595";"135 604";"121 713";"106 581";"108 327";"91 822";"83 275";"76 706";"73 938";"71 922"
"Evidovaní nezamestnaní poberajúci podporu v nezamestnanosti";"87 255";"92 687";"104 701";"127 801";"146 936";"141 976";"150 752";"139 148";"67 205";".";".";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - spolu";"3 176 965";"3 213 379";"3 278 130";"3 131 063";"3 194 902";"3 129 681";"3 058 676";"3 030 362";"3 014 868";"3 026 162";"3 029 438";"2 991 797";"2 974 311";"2 957 147";"3 107 877";"3 107 103";"3 325 296";"3 375 005";"3 107 722";"3 065 626";"3 020 066"
"Poistenci za ktorıch poistné hradí štát - nezaopatrené deti";"1 696 404";"1 757 918";"1 802 509";"1 570 672";"1 575 928";"1 532 598";"1 508 897";".";"1 450 011";"1 433 840";"1 406 555";"1 369 484";"1 341 861";"1 308 452";"1 329 694";"1 309 400";"1 323 799";"1 305 391";"1 179 771";"1 184 316";"1 218 183"
"Poistenci za ktorıch poistné hradí štát - osoby poberajúce dôchodok";".";"978 466";"992 434";"1 033 145";"1 078 159";"1 066 180";"1 028 500";".";"1 025 113";"1 021 794";"1 049 793";"981 383";"1 031 629";"1 039 862";"1 070 636";"1 078 076";"1 278 985";"1 270 345";"1 152 599";"1 170 939";"1 184 147"
"Poistenci za ktorıch poistné hradí štát - osoby poberajúce dôchodok zo SP v SR";"997 608";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - osoby poberajúce dôchodok zo SP v ÈR";"70";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - osoby zaradené v evidencii uchádzaèov o zamestnanie";".";".";".";".";".";".";".";".";".";".";"354 397";"334 960";"280 620";"287 832";"415 142";"423 866";"452 024";"464 444";"382 048";"357 874";"338 094"
"Poistenci za ktorıch poistné hradí štát - evidovaní nezamestnaní nepoberajúci podporu v nezamestnanosti";"259 128";"227 990";"205 314";"197 073";"208 185";"210 213";"327 800";".";"356 297";"383 536";".";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát -osoby starajúce sa o diea do 6 r. (osobne celodenne)";".";".";".";".";".";".";".";"";".";".";".";"117 062";"87 336";"77 774";"78 254";"75 495";"71 860";"80 213";"55 312";"56 214";"59 577"
"Poistenci za ktorıch poistné hradí štát - osoby starajúce sa o diea do 5 r. a invalidné (osobne celodenne)";".";".";".";"207 040";"217 593";"212 000";"131 202";".";"129 765";"131 939";"24 545";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - osoby starajúce sa o diea do 3 r. a invalidné (osobne celodenne) ";"176 440";"175 665";"165 937";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - osoby starajúce sa o blízku invalidnú osobu (celodenne)";"9 547";"10 790";"15 234";"43 836";"45 421";"44 269";"13 633";".";"18 868";"21 069";".";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - osoby bez dôchodku z dôvodu opatrovate¾skej sluby";"29";".";".";".";".";".";".";".";"105";"109";".";".";".";".";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - osoby poberajúce peòanı príspevok za opatrovanie";".";".";".";".";".";".";".";".";".";".";"117 950";"3 813";"7 051";"7 716";"8 854";"11 038";"14 116";"25 685";"30 342";"39 444";"31 455"
"Poistenci za ktorıch poistné hradí štát - osoby opatrujúce obèana s ZP";".";".";".";".";".";".";".";".";".";".";"26 625";"5 565";"5 222";"5 388";"6 553";"4 715";"4 027";"654";"253";"253";"1 974"
"Poistenci za ktorıch poistné hradí štát - osoby vykonávajúce osobnú asistenciu obèanovi s ZP";".";".";".";".";".";".";".";".";".";".";"5 379";"68";"285";"259";"340";"323";"388";"1 893";"1 692";"1 044";"1 179"
"Poistenci za ktorıch poistné hradí štát - osoby poberajúce dávku v hmotnej núdzi";"1 418";"24 022";"53 405";"23 409";"17 468";"16 532";"19 522";".";"28 342";"18 347";"20 838";"21 661";"45 836";"34 088";"40 300";"37 715";"40 119";"89 189";"180 844";"172 573";"84 489"
"Poistenci za ktorıch poistné hradí štát - vojaci vykonávajúci slubu a osoby vykonávajúce civilnú slubu";"31 684";"31 226";"28 715";"38 835";"35 953";"31 322";"19 550";".";"9 982";"5 130";"";"336";"74";"17";".";".";".";".";".";".";"."
"Poistenci za ktorıch poistné hradí štát - osoby vo vıkone väzby alebo vıkone trestu odòatia slobody";"4 480";"3 154";"3 661";"8 491";"9 304";"9 561";"6 056";".";"7 009";"6 772";"3 213";"9 285";"8 315";"7 929";"9 102";"8 055";"11 656";"11 612";"8 050";"8 515";"7 720"
"Poistenci za ktorıch poistné hradí štát - vekovo dôchodcovia, bez nároku na príjem dôchodku";"77";"1 389";"1 127";"2 273";"143";"132";"484";".";"319";"480";"7 919";"3 545";"3 544";"3 579";"3 928";"3 785";"2 251";"2 229";"2 126";"3 259";"3 709"
"Poistenci za ktorıch poistné hradí štát - invalidné osoby, bez nároku na invalidnı dôchodok";".";".";".";".";".";".";".";".";".";".";"455";"177";"917";"2 097";"3 443";"3 305";"2 272";"2 336";"1 571";"1 636";"1 724"
"Poistenci za ktorıch poistné hradí štát - cudzinci a azylanti";"13";"34";"42";"540";"589";"578";"149";".";"117";"109";"173";"181";"238";"254";"932";"1 009";"1 168";"1 367";"1 328";"1 522";"1 685"
"Poistenci za ktorıch poistné hradí štát - osoby v cirkevnıch a charitatívnych spoloèenstvách";"73";"132";"151";"3 426";"3 767";"3 718";"704";".";"968";"1 006";"2 504";"1 006";"1 029";"1 049";"1 069";"1 121";"1 447";"1 469";"1 150";"1 185";"1 219"
