"PrÌjmy a ˙hrady zo zdravotnÈho poistenia v tis. EUR, tis. Sk"

" ";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2"
"PrÌjmy z v˝beru poistnÈho spolu"
"  tis. EUR";"268 690,33";"275 289,78";"293 174,00";"305 917,05";"294 386,61";"305 525,59";"324 801,07";"347 341,47";"318 131,88";"325 405,63";"332 162,19";"342 607,98";"318 177,59";"334 438,16";"341 379,90";"379 364,97";"362 706,30";"364 686,85";"350 659,90";"378 949,31";"373 314,74";"389 127,56";"413 255,86";"424 670,62";"445 986,95";"440 093,01";"452 497,31";"461 463,55";"461 445,66";"467 958,21";"482 482,17";"521 340,24";"488 294,13";"501 275,31";"504 313,02";"559 616,88";"540 251,11";"615 579,70";"588 087,83";"613 547,57";"602 120,20";"629 461,63";"660 781,19";"695 042,12";"716 085,61";"706 929,13";"712 895,84";"765 691,63";"770 353,98";"790 684,19";"817 376,95";"884 565,62";"800 221";"837 911";"840 883";"883 961";"843 674";"869 274";"873 290";"917 211";"862 592";"878 436";"887 665";"932 985";"881 417";"888 755";"923 053";"1 023 995";"894 521";"944 027";"957 882";"1 016 652";"941 925";"965 963";"972 638";"1 039 404";"982 325";"1 001 058";"1 014 693";"1 156 705";"1 025 072";"1 074 496"
"  tis. Sk";"8 094 565";"8 293 380";"8 832 160";"9 216 057";"8 868 691";"9 204 264";"9 784 957";"10 464 009";"9 584 041";"9 803 170";"10 006 718";"10 321 408";"9 585 418";"10 075 284";"10 284 411";"11 428 749";"10 926 890";"10 986 556";"10 563 980";"11 416 227";"11 246 480";"11 722 857";"12 449 746";"12 793 627";"13 435 803";"13 258 242";"13 631 934";"13 902 051";"13 901 512";"14 097 709";"14 535 258";"15 705 896";"14 710 349";"15 101 420";"15 192 934";"16 859 018";"16 275 605";"18 544 954";"17 716 734";"18 483 734";"18 139 473";"18 963 161";"19 906 694";"20 938 839";"21 572 795";"21 296 947";"21 476 700";"23 067 226";"23 207 684";"23 820 152";"24 624 298";"26 648 424";"24 107 458";"25 242 907";"25 332 441";"26 630 209";"25 416 523";"26 187 749";"26 308 735";"27 631 899";"25 986 447";"26 463 763";"26 741 796";"28 107 106";"26 553 569";"26 774 633";"27 807 895";"30 848 873";"26 948 340";"28 439 757";"28 857 153";"30 627 658";"28 376 433";"29 100 601";"29 301 692";"31 313 085";"29 593 523";"30 157 873";"30 568 641";"34 846 895";"30 881 319";"32 370 266"
"PoistnÈ od zamestnancov"
"  tis. EUR";"41 541,96";"47 859,69";"52 498,04";"56 202,48";"52 824,01";"57 178,95";"60 790,81";"66 044,08";"65 385,68";"59 231,39";"62 392,62";"62 747,36";"57 143,50";"60 041,49";"61 655,91";"70 016,03";"65 135,20";"63 801,53";"66 261,70";"76 079,76";"69 145,79";"73 732,82";"80 410,34";"81 990,54";"83 172,87";"80 941,58";"85 158,47";"97 951,74";"84 097,66";"87 190,50";"90 352,05";"98 155,28";"88 403,11";"92 472,12";"94 056,10";"106 411,60";"93 129,29";"109 704,44";"105 895,44";"117 761,14";"104 308,21";"110 744,11";"119 517,13";"128 618,47";"116 126,67";"123 611,07";"129 317,04";"143 522,90";"131 766,48";"139 227,11";"144 601,08";"165 313,09";"132 310";"145 429";"140 259";"150 572";"136 192";"139 389";"141 035";"153 115";"137 340";"144 852";"148 257";"161 311";"142 735";"148 941";"152 791";"165 545";"144 976";"161 463";"166 760";"179 585";"162 823";"171 381";"174 777";"189 490";"166 107";"175 453";"181 336";"198 117";"174 408";"190 092"
"  tis. Sk";"1 251 493";"1 441 821";"1 581 556";"1 693 156";"1 591 376";"1 722 573";"1 831 384";"1 989 644";"1 969 809";"1 784 405";"1 879 640";"1 890 327";"1 721 505";"1 808 810";"1 857 446";"2 109 303";"1 962 263";"1 922 085";"1 996 200";"2 291 979";"2 083 086";"2 221 275";"2 422 442";"2 470 047";"2 505 666";"2 438 446";"2 565 484";"2 950 894";"2 533 526";"2 626 701";"2 721 946";"2 957 026";"2 663 232";"2 785 815";"2 833 534";"3 205 756";"2 805 613";"3 304 956";"3 190 206";"3 547 672";"3 142 389";"3 336 277";"3 600 573";"3 874 760";"3 498 432";"3 723 907";"3 895 805";"4 323 771";"3 969 597";"4 194 356";"4 356 252";"4 980 222";"3 985 971";"4 381 194";"4 225 443";"4 536 132";"4 102 920";"4 199 233";"4 248 820";"4 612 742";"4 137 505";"4 363 811";"4 466 390";"4 859 655";"4 300 035";"4 486 997";"4 602 982";"4 987 209";"4 367 547";"4 864 234";"5 023 812";"5 410 178";"4 905 206";"5 163 024";"5 265 332";"5 708 576";"5 004 139";"5 285 697";"5 462 928";"5 968 473";"5 254 215";"5 726 712"
"PoistnÈ od zamestn·vateæov"
"  tis. EUR";"128 768,24";"129 070,21";"141 483,47";"151 353,28";"140 757,65";"147 595,20";"163 876,05";"178 200,09";"148 796,02";"161 355,67";"166 130,82";"172 766,78";"151 564,23";"160 803,09";"166 470,16";"181 956,95";"175 353,85";"170 701,55";"178 510,69";"205 000,00";"177 890,16";"187 803,29";"204 357,30";"212 221,77";"213 490,94";"209 887,41";"219 013,31";"253 530,94";"213 148,24";"219 501,66";"227 177,19";"248 644,06";"222 015,63";"232 800,87";"237 200,03";"268 217,82";"237 810,93";"276 439,29";"266 751,21";"295 496,05";"262 720,71";"278 624,34";"300 471,39";"320 386,64";"290 493,66";"308 961,43";"323 487,72";"363 369,65";"334 637,66";"348 059,32";"361 490,44";"413 273,88";"330 770";"344 677";"350 636";"376 649";"340 480";"348 468";"352 582";"382 965";"343 390";"362 128";"370 640";"403 502";"356 837";"372 350";"381 974";"413 859";"362 439";"403 656";"416 899";"448 959";"407 054";"428 448";"436 942";"473 721";"415 265";"438 629";"453 336";"495 289";"436 016";"475 229"
"  tis. Sk";"3 879 272";"3 888 369";"4 262 331";"4 559 669";"4 240 465";"4 446 453";"4 936 930";"5 368 456";"4 482 629";"4 861 001";"5 004 857";"5 204 772";"4 566 024";"4 844 354";"5 015 080";"5 481 635";"5 282 710";"5 142 555";"5 377 813";"6 175 830";"5 359 119";"5 657 762";"6 156 468";"6 393 393";"6 431 628";"6 323 068";"6 597 995";"7 637 873";"6 421 304";"6 612 707";"6 843 940";"7 490 651";"6 688 443";"7 013 359";"7 145 888";"8 080 330";"7 164 292";"8 328 010";"8 036 147";"8 902 114";"7 914 724";"8 393 837";"9 052 001";"9 651 968";"8 751 412";"9 307 772";"9 745 391";"10 946 874";"10 081 294";"10 485 635";"10 890 261";"12 450 289";"9 964 777";"10 383 739";"10 563 260";"11 346 928";"10 257 300";"10 497 947";"10 621 885";"11 537 204";"10 344 967";"10 909 468";"11 165 901";"12 155 901";"10 750 071";"11 217 416";"11 507 349";"12 467 916";"10 918 837";"12 160 541";"12 559 499";"13 525 339";"12 262 909";"12 907 424";"13 163 315";"14 271 319";"12 510 273";"13 214 137";"13 657 200";"14 921 076";"13 135 418";"14 316 749"
"PoistnÈ od SZ»O a spolupracuj˙cich osÙb"
